0,323,338,211,128,238,244,245,212,760,318,222,191,256,822,143,419,174,45
677,0,415,242,172,281,285,253,274,863,365,207,182,245,925,143,589,204,34
662,585,0,260,136,226,321,348,254,17,563,215,144,349,944,140,716,170,19
789,757,740,0,379,515,556,485,534,70,743,385,385,587,947,344,785,346,72
872,828,864,621,0,764,745,738,754,955,924,678,506,728,985,527,871,576,116
762,719,774,485,236,0,593,605,580,981,856,333,322,478,981,221,769,284,27
756,715,679,444,255,407,0,540,488,947,804,303,284,532,963,199,756,215,42
755,747,652,515,262,395,460,0,350,958,752,305,248,474,977,141,774,251,49
788,726,746,466,246,420,512,650,0,951,819,343,320,534,966,195,820,260,35
240,137,83,30,45,19,53,42,49,0,83,30,34,79,441,27,181,26,11
682,635,437,257,76,144,196,248,181,917,0,170,106,288,902,98,595,86,26
778,793,785,615,322,667,697,695,657,970,830,0,348,648,970,268,848,365,53
809,818,855,615,494,678,716,752,680,966,894,652,0,702,981,530,886,456,67
744,755,651,413,272,522,467,526,466,921,712,352,298,0,951,204,767,222,15
178,75,56,53,15,19,37,23,34,559,98,30,19,49,0,19,76,23,15
857,857,860,656,473,779,801,859,805,973,902,732,470,796,981,0,875,525,61
581,411,284,215,129,231,244,226,180,819,405,152,114,233,924,125,0,121,23
826,796,830,654,424,716,785,749,740,974,914,635,544,778,977,475,879,0,37
955,966,981,928,884,973,958,951,965,989,974,947,933,985,985,939,977,963,0